submission_date,state,new_case
3/6/2020,MN,1
3/7/2020,MN,0
3/8/2020,MN,1
3/9/2020,MN,0
3/10/2020,MN,2
3/11/2020,MN,1
3/12/2020,MN,5
3/13/2020,MN,4
3/14/2020,MN,0
3/15/2020,MN,40
3/16/2020,MN,6
3/17/2020,MN,17
3/18/2020,MN,12
3/19/2020,MN,26
3/20/2020,MN,0
3/21/2020,MN,22
3/22/2020,MN,99
3/23/2020,MN,26
3/24/2020,MN,25
3/25/2020,MN,59
3/26/2020,MN,53
3/27/2020,MN,0
3/28/2020,MN,42
3/29/2020,MN,135
3/30/2020,MN,0
3/31/2020,MN,113
4/1/2020,MN,53
4/2/2020,MN,47
4/3/2020,MN,0
4/4/2020,MN,76
4/5/2020,MN,121
4/6/2020,MN,83
4/7/2020,MN,85
4/8/2020,MN,88
4/9/2020,MN,94
4/10/2020,MN,0
4/11/2020,MN,178
4/12/2020,MN,107
4/13/2020,MN,74
4/14/2020,MN,114
4/15/2020,MN,53
4/16/2020,MN,151
4/17/2020,MN,161
4/18/2020,MN,39
4/19/2020,MN,257
4/20/2020,MN,97
4/21/2020,MN,154
4/22/2020,MN,0
4/23/2020,MN,464
4/24/2020,MN,0
4/25/2020,MN,261
4/26/2020,MN,156
4/27/2020,MN,579
4/28/2020,MN,464
4/29/2020,MN,491
4/30/2020,MN,0
5/1/2020,MN,594
5/2/2020,MN,498
5/3/2020,MN,1010
5/4/2020,MN,-4
5/5/2020,MN,617
5/6/2020,MN,728
5/7/2020,MN,1509
5/8/2020,MN,0
5/9/2020,MN,1183
5/10/2020,MN,0
5/11/2020,MN,528
5/12/2020,MN,1118
5/13/2020,MN,0
5/14/2020,MN,1323
5/15/2020,MN,0
5/16/2020,MN,1428
5/17/2020,MN,704
5/18/2020,MN,657
5/19/2020,MN,641
5/20/2020,MN,0
5/21/2020,MN,1335
5/22/2020,MN,840
5/23/2020,MN,0
5/24/2020,MN,728
5/25/2020,MN,1387
5/26/2020,MN,504
5/27/2020,MN,0
5/28/2020,MN,1067
5/29/2020,MN,0
5/30/2020,MN,1319
5/31/2020,MN,358
6/1/2020,MN,0
6/2/2020,MN,300
6/3/2020,MN,362
6/4/2020,MN,403
6/5/2020,MN,1228
6/6/2020,MN,385
6/7/2020,MN,338
6/8/2020,MN,299
6/9/2020,MN,346
6/10/2020,MN,447
6/11/2020,MN,0
6/12/2020,MN,479
6/13/2020,MN,377
6/14/2020,MN,521
6/15/2020,MN,189
6/16/2020,MN,414
6/17/2020,MN,0
6/18/2020,MN,379
6/19/2020,MN,792
6/20/2020,MN,453
6/21/2020,MN,307
6/22/2020,MN,242
6/23/2020,MN,294
6/24/2020,MN,0
6/25/2020,MN,853
6/26/2020,MN,0
6/27/2020,MN,933
6/28/2020,MN,-3
6/29/2020,MN,315
6/30/2020,MN,855
7/1/2020,MN,494
7/2/2020,MN,414
7/3/2020,MN,0
7/4/2020,MN,512
7/5/2020,MN,433
7/6/2020,MN,564
7/7/2020,MN,0
7/8/2020,MN,1003
7/9/2020,MN,631
7/10/2020,MN,804
7/11/2020,MN,0
7/12/2020,MN,1201
7/13/2020,MN,398
7/14/2020,MN,0
7/15/2020,MN,1177
7/16/2020,MN,666
7/17/2020,MN,457
7/18/2020,MN,734
7/19/2020,MN,0
7/20/2020,MN,1253
7/21/2020,MN,504
7/22/2020,MN,760
7/23/2020,MN,769
7/24/2020,MN,801
7/25/2020,MN,0
7/26/2020,MN,1512
7/27/2020,MN,478
7/28/2020,MN,666
7/29/2020,MN,745
7/30/2020,MN,772
7/31/2020,MN,724
8/1/2020,MN,759
8/2/2020,MN,0
8/3/2020,MN,1215
8/4/2020,MN,617
8/5/2020,MN,861
8/6/2020,MN,545
8/7/2020,MN,916
8/8/2020,MN,797
8/9/2020,MN,618
8/10/2020,MN,323
8/11/2020,MN,0
8/12/2020,MN,457
8/13/2020,MN,1427
8/14/2020,MN,690
8/15/2020,MN,749
8/16/2020,MN,554
8/17/2020,MN,0
8/18/2020,MN,345
8/19/2020,MN,1247
8/20/2020,MN,825
8/21/2020,MN,0
8/22/2020,MN,1451
8/23/2020,MN,714
8/24/2020,MN,409
8/25/2020,MN,529
8/26/2020,MN,1154
8/27/2020,MN,850
8/28/2020,MN,0
8/29/2020,MN,1974
8/30/2020,MN,650
8/31/2020,MN,0
9/1/2020,MN,1221
9/2/2020,MN,0
9/3/2020,MN,1881
9/4/2020,MN,0
9/5/2020,MN,1621
9/6/2020,MN,638
9/7/2020,MN,383
9/8/2020,MN,260
9/9/2020,MN,381
9/10/2020,MN,0
9/11/2020,MN,467
9/12/2020,MN,1595
9/13/2020,MN,638
9/14/2020,MN,402
9/15/2020,MN,0
9/16/2020,MN,462
9/17/2020,MN,909
9/18/2020,MN,1085
9/19/2020,MN,914
9/20/2020,MN,2221
9/21/2020,MN,480
9/22/2020,MN,678
9/23/2020,MN,0
9/24/2020,MN,2089
9/25/2020,MN,1470
9/26/2020,MN,0
9/27/2020,MN,1979
9/28/2020,MN,0
9/29/2020,MN,809
9/30/2020,MN,687
10/1/2020,MN,1066
10/2/2020,MN,1166
10/3/2020,MN,2460
10/4/2020,MN,0
10/5/2020,MN,1914
10/6/2020,MN,0
10/7/2020,MN,2182
10/8/2020,MN,0
10/9/2020,MN,1390
10/10/2020,MN,2956
10/11/2020,MN,1171
10/12/2020,MN,1435
10/13/2020,MN,0
10/14/2020,MN,1069
10/15/2020,MN,1163
10/16/2020,MN,2290
10/17/2020,MN,1694
10/18/2020,MN,3349
10/19/2020,MN,0
10/20/2020,MN,1092
10/21/2020,MN,1060
10/22/2020,MN,1561
10/23/2020,MN,1711
10/24/2020,MN,2259
10/25/2020,MN,1680
10/26/2020,MN,1570
10/27/2020,MN,2164
10/28/2020,MN,1908
10/29/2020,MN,2867
10/30/2020,MN,3154
10/31/2020,MN,3007
11/1/2020,MN,2200
11/2/2020,MN,2948
11/3/2020,MN,3476
11/4/2020,MN,3827
11/5/2020,MN,3942
11/6/2020,MN,5442
11/7/2020,MN,4647
11/8/2020,MN,5908
11/9/2020,MN,3926
11/10/2020,MN,4893
11/11/2020,MN,4889
11/12/2020,MN,7225
11/13/2020,MN,5544
11/14/2020,MN,8689
11/15/2020,MN,7553
11/16/2020,MN,7437
11/17/2020,MN,5931
11/18/2020,MN,5094
11/19/2020,MN,7863
11/20/2020,MN,6794
11/21/2020,MN,6252
11/22/2020,MN,7205
11/23/2020,MN,6343
11/24/2020,MN,6416
11/25/2020,MN,6387
11/26/2020,MN,0
11/27/2020,MN,5698
11/28/2020,MN,9022
11/29/2020,MN,8946
11/30/2020,MN,5794
12/1/2020,MN,3549
12/2/2020,MN,5165
12/3/2020,MN,6149
12/4/2020,MN,5347
12/5/2020,MN,6308
12/6/2020,MN,5581
12/7/2020,MN,5290
12/8/2020,MN,3051
12/9/2020,MN,4516
12/10/2020,MN,3499
12/11/2020,MN,3750
12/12/2020,MN,4430
12/13/2020,MN,3425
12/14/2020,MN,3018
12/15/2020,MN,2323
12/16/2020,MN,2248
12/17/2020,MN,2759
12/18/2020,MN,2718
12/19/2020,MN,2746
12/20/2020,MN,2684
12/21/2020,MN,1992
12/22/2020,MN,1700
12/23/2020,MN,1508
12/24/2020,MN,1884
12/25/2020,MN,0
12/26/2020,MN,2142
12/27/2020,MN,2516
12/28/2020,MN,1077
12/29/2020,MN,972
12/30/2020,MN,1997
12/31/2020,MN,2195
1/1/2021,MN,0
1/2/2021,MN,2530
1/3/2021,MN,2712
1/4/2021,MN,3144
1/5/2021,MN,1573
1/6/2021,MN,2326
1/7/2021,MN,1983
1/8/2021,MN,2374
1/9/2021,MN,2469
1/10/2021,MN,2159
1/11/2021,MN,980
1/12/2021,MN,1315
1/13/2021,MN,1487
1/14/2021,MN,1581
1/15/2021,MN,1627
1/16/2021,MN,1485
1/17/2021,MN,1333
1/18/2021,MN,969
1/19/2021,MN,919
1/20/2021,MN,1224
1/21/2021,MN,1270
1/22/2021,MN,1506
1/23/2021,MN,1540
1/24/2021,MN,1181
1/25/2021,MN,794
1/26/2021,MN,707
1/27/2021,MN,827
1/28/2021,MN,1316
1/29/2021,MN,1114
1/30/2021,MN,1072
1/31/2021,MN,988
2/1/2021,MN,721
2/2/2021,MN,604
2/3/2021,MN,634
2/4/2021,MN,1410
2/5/2021,MN,1048
2/6/2021,MN,993
2/7/2021,MN,901
2/8/2021,MN,564
2/9/2021,MN,572
2/10/2021,MN,651
2/11/2021,MN,898
2/12/2021,MN,1048
2/13/2021,MN,940
2/14/2021,MN,776
2/15/2021,MN,602
2/16/2021,MN,452
2/17/2021,MN,758
2/18/2021,MN,913
2/19/2021,MN,995
2/20/2021,MN,870
2/21/2021,MN,879
2/22/2021,MN,555
2/23/2021,MN,500
2/24/2021,MN,754
2/25/2021,MN,986
2/26/2021,MN,1147
2/27/2021,MN,812
2/28/2021,MN,804
3/1/2021,MN,636
3/2/2021,MN,425
3/3/2021,MN,779
3/4/2021,MN,940
3/5/2021,MN,796
3/6/2021,MN,946
3/7/2021,MN,895
3/8/2021,MN,472
3/9/2021,MN,734
3/10/2021,MN,905
3/11/2021,MN,1093
3/12/2021,MN,1102
3/13/2021,MN,1187
3/14/2021,MN,997
3/15/2021,MN,826
3/16/2021,MN,708
3/17/2021,MN,1036
3/18/2021,MN,1496
3/19/2021,MN,1435
3/20/2021,MN,1380
3/21/2021,MN,951
3/22/2021,MN,1152
3/23/2021,MN,855
3/24/2021,MN,1310
3/25/2021,MN,1857
3/26/2021,MN,1699
3/27/2021,MN,1736
3/28/2021,MN,1225
3/29/2021,MN,1550
3/30/2021,MN,1273
3/31/2021,MN,1648
4/1/2021,MN,2138
4/2/2021,MN,2536
4/3/2021,MN,2064
4/4/2021,MN,0
4/5/2021,MN,1383
4/6/2021,MN,3012
4/7/2021,MN,1996
4/8/2021,MN,2524
4/9/2021,MN,2646
4/10/2021,MN,2449
4/11/2021,MN,1776
4/12/2021,MN,1993
4/13/2021,MN,1358
4/14/2021,MN,1697
4/15/2021,MN,2729
4/16/2021,MN,2287
4/17/2021,MN,2419
4/18/2021,MN,1845
4/19/2021,MN,1284
4/20/2021,MN,1185
4/21/2021,MN,1600
4/22/2021,MN,1970
4/23/2021,MN,2164
4/24/2021,MN,2103
4/25/2021,MN,1556
4/26/2021,MN,1197
4/27/2021,MN,1078
4/28/2021,MN,1507
4/29/2021,MN,1913
4/30/2021,MN,1874
5/1/2021,MN,1712
5/2/2021,MN,1711
5/3/2021,MN,1105
5/4/2021,MN,995
5/5/2021,MN,1241
5/6/2021,MN,1651
5/7/2021,MN,1450
5/8/2021,MN,1282
5/9/2021,MN,803
5/10/2021,MN,1190
5/11/2021,MN,575
5/12/2021,MN,909
5/13/2021,MN,1009
5/14/2021,MN,1305
5/15/2021,MN,872
5/16/2021,MN,805
5/17/2021,MN,589
5/18/2021,MN,516
5/19/2021,MN,654
5/20/2021,MN,866
5/21/2021,MN,679
5/22/2021,MN,596
5/23/2021,MN,439
5/24/2021,MN,468
5/25/2021,MN,243
5/26/2021,MN,432
5/27/2021,MN,499
5/28/2021,MN,359
5/29/2021,MN,338
5/30/2021,MN,279
5/31/2021,MN,66
6/1/2021,MN,67
6/2/2021,MN,128
6/3/2021,MN,236
6/4/2021,MN,253
6/5/2021,MN,294
6/6/2021,MN,258
6/7/2021,MN,194
6/8/2021,MN,125
6/9/2021,MN,139
6/10/2021,MN,161
6/11/2021,MN,161
6/12/2021,MN,148
6/13/2021,MN,146
6/14/2021,MN,116
6/15/2021,MN,90
6/16/2021,MN,86
6/17/2021,MN,132
6/18/2021,MN,108
6/19/2021,MN,108
6/20/2021,MN,109
6/21/2021,MN,99
6/22/2021,MN,79
6/23/2021,MN,71
6/24/2021,MN,121
6/25/2021,MN,92
6/26/2021,MN,69
6/27/2021,MN,97
6/28/2021,MN,81
6/29/2021,MN,79
6/30/2021,MN,68
7/1/2021,MN,83
7/2/2021,MN,101
7/3/2021,MN,111
7/4/2021,MN,47
7/5/2021,MN,47
7/6/2021,MN,49
7/7/2021,MN,231
7/8/2021,MN,124
7/9/2021,MN,139
7/10/2021,MN,62
7/11/2021,MN,62
7/12/2021,MN,63
7/13/2021,MN,386
7/14/2021,MN,199
7/15/2021,MN,209
7/16/2021,MN,246
7/17/2021,MN,86
7/18/2021,MN,86
7/19/2021,MN,88
7/20/2021,MN,621
7/21/2021,MN,273
7/22/2021,MN,338
7/23/2021,MN,371
7/24/2021,MN,140
7/25/2021,MN,140
7/26/2021,MN,143
7/27/2021,MN,1029
7/28/2021,MN,619
7/29/2021,MN,543
7/30/2021,MN,700
7/31/2021,MN,207
8/1/2021,MN,207
8/2/2021,MN,210
8/3/2021,MN,1665
8/4/2021,MN,933
8/5/2021,MN,861
8/6/2021,MN,1004
8/7/2021,MN,372
8/8/2021,MN,372
8/9/2021,MN,374
8/10/2021,MN,1685
8/11/2021,MN,1625
8/12/2021,MN,1311
8/13/2021,MN,1324
8/14/2021,MN,486
8/15/2021,MN,486
8/16/2021,MN,487
8/17/2021,MN,3044
8/18/2021,MN,1158
8/19/2021,MN,1346
8/20/2021,MN,1698
8/21/2021,MN,555
8/22/2021,MN,555
8/23/2021,MN,556
8/24/2021,MN,3837
8/25/2021,MN,1400
8/26/2021,MN,1829
8/27/2021,MN,1902
8/28/2021,MN,634
8/29/2021,MN,634
8/30/2021,MN,636
8/31/2021,MN,3870
9/1/2021,MN,1424
9/2/2021,MN,1900
9/3/2021,MN,2130
9/4/2021,MN,518
9/5/2021,MN,518
9/6/2021,MN,518
9/7/2021,MN,520
9/8/2021,MN,5756
9/9/2021,MN,1211
9/10/2021,MN,2037
9/11/2021,MN,892
9/12/2021,MN,892
9/13/2021,MN,896
9/14/2021,MN,4598
9/15/2021,MN,2731
9/16/2021,MN,2473
9/17/2021,MN,2635
9/18/2021,MN,818
9/19/2021,MN,818
9/20/2021,MN,821
9/21/2021,MN,6321
9/22/2021,MN,1638
9/23/2021,MN,2291
9/24/2021,MN,2862
9/25/2021,MN,927
9/26/2021,MN,927
9/27/2021,MN,930
9/28/2021,MN,6192
9/29/2021,MN,2062
9/30/2021,MN,2874
10/1/2021,MN,3696
10/2/2021,MN,1178
10/3/2021,MN,1178
10/4/2021,MN,1181
10/5/2021,MN,7124
10/6/2021,MN,3883
10/7/2021,MN,2667
10/8/2021,MN,3645
10/9/2021,MN,1065
10/10/2021,MN,1065
10/11/2021,MN,1067
10/12/2021,MN,7925
10/13/2021,MN,2376
10/14/2021,MN,2916
10/15/2021,MN,3341
10/16/2021,MN,950
10/17/2021,MN,950
10/18/2021,MN,951
10/19/2021,MN,5663
10/20/2021,MN,1846
10/21/2021,MN,2351
10/22/2021,MN,2134
10/23/2021,MN,0
10/24/2021,MN,0
10/25/2021,MN,2981
10/26/2021,MN,6522
10/27/2021,MN,1799
10/28/2021,MN,2685
10/29/2021,MN,3317
10/30/2021,MN,0
10/31/2021,MN,0
11/1/2021,MN,2480
11/2/2021,MN,7031
11/3/2021,MN,2941
11/4/2021,MN,3698
11/5/2021,MN,3354
11/6/2021,MN,0
11/7/2021,MN,0
11/8/2021,MN,4231
11/9/2021,MN,7165
11/10/2021,MN,5265
11/11/2021,MN,5118
11/12/2021,MN,4838
11/13/2021,MN,0
11/14/2021,MN,0
11/15/2021,MN,5262
11/16/2021,MN,10904
11/17/2021,MN,3444
11/18/2021,MN,4820
11/19/2021,MN,5148
11/20/2021,MN,0
11/21/2021,MN,0
11/22/2021,MN,4714
11/23/2021,MN,11451
11/24/2021,MN,3731
11/25/2021,MN,0
11/26/2021,MN,4130
11/27/2021,MN,0
11/28/2021,MN,0
11/29/2021,MN,4510
11/30/2021,MN,12631
12/1/2021,MN,3572
12/2/2021,MN,5307
12/3/2021,MN,5682
12/4/2021,MN,0
12/5/2021,MN,0
12/6/2021,MN,6094
12/7/2021,MN,12420
12/8/2021,MN,3045
12/9/2021,MN,3742
12/10/2021,MN,4547
12/11/2021,MN,0
12/12/2021,MN,0
12/13/2021,MN,3646
12/14/2021,MN,9025
12/15/2021,MN,2217
12/16/2021,MN,3780
12/17/2021,MN,3836
12/18/2021,MN,0
12/19/2021,MN,0
12/20/2021,MN,3381
12/21/2021,MN,7383
12/22/2021,MN,2804
12/23/2021,MN,3373
12/24/2021,MN,0
12/25/2021,MN,0
12/26/2021,MN,0
12/27/2021,MN,4137
12/28/2021,MN,9864
12/29/2021,MN,5210
12/30/2021,MN,6777
12/31/2021,MN,0
1/1/2022,MN,0
1/2/2022,MN,0
1/3/2022,MN,6774
1/4/2022,MN,16184
1/5/2022,MN,4140
1/6/2022,MN,6926
1/7/2022,MN,7829
1/8/2022,MN,0
1/9/2022,MN,0
1/10/2022,MN,10963
1/11/2022,MN,29466
1/12/2022,MN,10704
1/13/2022,MN,11499
1/14/2022,MN,11549
1/15/2022,MN,0
1/16/2022,MN,0
1/17/2022,MN,0
1/18/2022,MN,10642
1/19/2022,MN,44616
1/20/2022,MN,11425
1/21/2022,MN,11805
1/22/2022,MN,0
1/23/2022,MN,0
1/24/2022,MN,12710
1/25/2022,MN,35491
1/26/2022,MN,15565
1/27/2022,MN,14617
1/28/2022,MN,14548
1/29/2022,MN,0
1/30/2022,MN,0
1/31/2022,MN,12088
2/1/2022,MN,21337
2/2/2022,MN,3910
2/3/2022,MN,5448
2/4/2022,MN,6610
2/5/2022,MN,0
2/6/2022,MN,0
2/7/2022,MN,5826
2/8/2022,MN,10395
2/9/2022,MN,3823
2/10/2022,MN,4453
2/11/2022,MN,4846
2/12/2022,MN,0
2/13/2022,MN,0
2/14/2022,MN,4330
2/15/2022,MN,6433
2/16/2022,MN,1460
2/17/2022,MN,1815
2/18/2022,MN,2223
2/19/2022,MN,0
2/20/2022,MN,0
2/21/2022,MN,0
2/22/2022,MN,1992
2/23/2022,MN,3929
2/24/2022,MN,1010
2/25/2022,MN,904
2/26/2022,MN,0
2/27/2022,MN,0
2/28/2022,MN,1079
3/1/2022,MN,2076
3/2/2022,MN,539
3/3/2022,MN,824
3/4/2022,MN,796
3/5/2022,MN,0
3/6/2022,MN,0
3/7/2022,MN,883
3/8/2022,MN,1455
3/9/2022,MN,571
3/10/2022,MN,592
3/11/2022,MN,557
3/12/2022,MN,0
3/13/2022,MN,0
3/14/2022,MN,475
3/15/2022,MN,471
3/16/2022,MN,868
3/17/2022,MN,424
3/18/2022,MN,506
3/19/2022,MN,0
3/20/2022,MN,0
3/21/2022,MN,419
3/22/2022,MN,1024
3/23/2022,MN,270
3/24/2022,MN,461
3/25/2022,MN,483
3/26/2022,MN,0
3/27/2022,MN,0
3/28/2022,MN,464
3/29/2022,MN,970
3/30/2022,MN,347
3/31/2022,MN,499
4/1/2022,MN,539
4/2/2022,MN,0
4/3/2022,MN,0
4/4/2022,MN,467
4/5/2022,MN,1087
4/6/2022,MN,359
4/7/2022,MN,615
4/8/2022,MN,608
4/9/2022,MN,0
4/10/2022,MN,0
4/11/2022,MN,673
4/12/2022,MN,1334
4/13/2022,MN,682
4/14/2022,MN,852
4/15/2022,MN,872
4/16/2022,MN,0
4/17/2022,MN,0
4/18/2022,MN,928
4/19/2022,MN,1737
4/20/2022,MN,976
4/21/2022,MN,1117
4/22/2022,MN,1463
4/23/2022,MN,0
4/24/2022,MN,0
4/25/2022,MN,1158
4/26/2022,MN,2558
4/27/2022,MN,1364
4/28/2022,MN,1636
4/29/2022,MN,1972
4/30/2022,MN,0
5/1/2022,MN,0
5/2/2022,MN,1731
5/3/2022,MN,2500
5/4/2022,MN,2567
5/5/2022,MN,2277
5/6/2022,MN,2333
5/7/2022,MN,0
5/8/2022,MN,0
5/9/2022,MN,2660
5/10/2022,MN,5116
5/11/2022,MN,1790
5/12/2022,MN,2612
5/13/2022,MN,2914
5/14/2022,MN,0
5/15/2022,MN,0
5/16/2022,MN,2580
5/17/2022,MN,4581
5/18/2022,MN,2117
5/19/2022,MN,2120
5/20/2022,MN,2418
5/21/2022,MN,0
5/22/2022,MN,0
5/23/2022,MN,2146
5/24/2022,MN,4029
5/25/2022,MN,1518
5/26/2022,MN,2162
5/27/2022,MN,2264
5/28/2022,MN,0
5/29/2022,MN,0
5/30/2022,MN,0
5/31/2022,MN,2186
6/1/2022,MN,1780
6/2/2022,MN,4812
6/3/2022,MN,1964
6/4/2022,MN,0
6/5/2022,MN,0
6/6/2022,MN,2152
6/7/2022,MN,4057
6/8/2022,MN,1374
6/9/2022,MN,1811
6/10/2022,MN,2027
6/11/2022,MN,0
6/12/2022,MN,0
6/13/2022,MN,1549
6/14/2022,MN,3834
6/15/2022,MN,1356
6/16/2022,MN,1543
6/17/2022,MN,1887
6/18/2022,MN,0
6/19/2022,MN,0
6/20/2022,MN,0
6/21/2022,MN,3103
6/22/2022,MN,4584
6/23/2022,MN,0
6/24/2022,MN,1697
6/25/2022,MN,0
6/26/2022,MN,0
6/27/2022,MN,1510
6/28/2022,MN,3351
6/29/2022,MN,1281
6/30/2022,MN,0
7/1/2022,MN,1403
7/2/2022,MN,0
7/3/2022,MN,0
7/4/2022,MN,0
7/5/2022,MN,0
7/6/2022,MN,0
7/7/2022,MN,7244
7/8/2022,MN,0
7/9/2022,MN,0
7/10/2022,MN,0
7/11/2022,MN,0
7/12/2022,MN,0
7/13/2022,MN,0
7/14/2022,MN,9521
7/15/2022,MN,0
7/16/2022,MN,0
7/17/2022,MN,0
7/18/2022,MN,0
7/19/2022,MN,0
7/20/2022,MN,0
7/21/2022,MN,9500
7/22/2022,MN,0
7/23/2022,MN,0
7/24/2022,MN,0
7/25/2022,MN,0
7/26/2022,MN,0
7/27/2022,MN,0
7/28/2022,MN,10056
7/29/2022,MN,0
7/30/2022,MN,0
7/31/2022,MN,0
8/1/2022,MN,0
8/2/2022,MN,0
8/3/2022,MN,0
8/4/2022,MN,10442
8/5/2022,MN,0
8/6/2022,MN,0
8/7/2022,MN,0
8/8/2022,MN,0
8/9/2022,MN,0
8/10/2022,MN,0
8/11/2022,MN,10240
8/12/2022,MN,0
8/13/2022,MN,0
8/14/2022,MN,0
8/15/2022,MN,0
8/16/2022,MN,0
8/17/2022,MN,0
8/18/2022,MN,9948
8/19/2022,MN,0
8/20/2022,MN,0
8/21/2022,MN,0
8/22/2022,MN,0
8/23/2022,MN,0
8/24/2022,MN,0
8/25/2022,MN,9625
8/26/2022,MN,0
8/27/2022,MN,0
8/28/2022,MN,0
8/29/2022,MN,0
8/30/2022,MN,0
8/31/2022,MN,0
9/1/2022,MN,8394
9/2/2022,MN,0
9/3/2022,MN,0
9/4/2022,MN,0
9/5/2022,MN,0
9/6/2022,MN,0
9/7/2022,MN,0
9/8/2022,MN,6440
9/9/2022,MN,0
9/10/2022,MN,0
9/11/2022,MN,0
9/12/2022,MN,0
9/13/2022,MN,0
9/14/2022,MN,0
9/15/2022,MN,6346
9/16/2022,MN,0
9/17/2022,MN,0
9/18/2022,MN,0
9/19/2022,MN,0
9/20/2022,MN,0
9/21/2022,MN,0
9/22/2022,MN,6678
9/23/2022,MN,0
9/24/2022,MN,0
9/25/2022,MN,0
9/26/2022,MN,0
9/27/2022,MN,0
9/28/2022,MN,0
9/29/2022,MN,6120
9/30/2022,MN,0
10/1/2022,MN,0
10/2/2022,MN,0
10/3/2022,MN,0
10/4/2022,MN,0
10/5/2022,MN,0
10/6/2022,MN,5968
10/7/2022,MN,0
10/8/2022,MN,0
10/9/2022,MN,0
10/10/2022,MN,0
10/11/2022,MN,0
10/12/2022,MN,0
10/13/2022,MN,5386
10/14/2022,MN,0
10/15/2022,MN,0
10/16/2022,MN,0
10/17/2022,MN,0
10/18/2022,MN,0
